Titanic Passengers and Crew Complete List,,,,,,,,,,,,,,,
Name,Born,Died,Age,Gender,Class/Dept,Ticket,Fare,Cabin,Joined,Occupation,Survived?,Boat,Body,Nationality,URL
"BAILEY, Mr George Frank",1866,1912,46,Male,Engineering Crew,,,,Southampton,Fireman,LOST,,,Welsh,https://www.encyclopedia-titanica.org/titanic-victim/george-bailey.html
"BAILEY, Mr Henry Joseph",1865,1943,46,Male,Deck Crew,,,,Southampton,Master-at-arms,SAVED,16,,English,https://www.encyclopedia-titanica.org/titanic-survivor/joseph-henry-bailey.html
"BAILEY, Mr Percy",1894,1912,18,Male,2nd Class Passenger,29108,£11             10s,,Southampton,Butcher's Assistant,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/percy-andrew-bailey.html
"BAILEY, Mr William",1882,,30,Male,Engineering Crew,,,,Belfast,Trimmer,,,,Irish,https://www.encyclopedia-titanica.org/titanic-biography/william-bailey.html
"BAIN, Mr David",1859,,52,Male,Engineering Crew,,,,Belfast,Fireman,,,,English,https://www.encyclopedia-titanica.org/titanic-biography/david-bain.html
"BAINBRIGGE, Mr Charles Robert",1889,1912,22,Male,2nd Class Passenger,31030,£10             10s,,Southampton,Horse Trainer,LOST,,,Channel Islander,https://www.encyclopedia-titanica.org/titanic-victim/charles-robert-bainbrigge.html
"BAINES, Mr Richard",1854,1912,58,Male,Engineering Crew,,,,Southampton,Greaser,LOST,,,Irish,https://www.encyclopedia-titanica.org/titanic-victim/richard-baines.html
"BAKER, Mr John",1880,1933,32,Male,Engineering Crew,,,,Belfast,Fireman,,,,Irish,https://www.encyclopedia-titanica.org/titanic-biography/john-baker-barker.html
"BALIKIć, Mr Ćerim",1886,1912,26,Male,3rd Class Passenger,349248,£7             17s             11d,,Southampton,General Labourer,LOST,,,Bosnian,https://www.encyclopedia-titanica.org/titanic-victim/cerin-balkic.html
"BALL, Mr Percy",1894,1933,18,Male,Victualling Crew,,,,Southampton,Plate Steward,SAVED,13,,English,https://www.encyclopedia-titanica.org/titanic-survivor/percy-ball.html
"BALLS, Mrs Ada Elizabeth",1875,1967,36,Female,2nd Class Passenger,28551,£13.00,D?,Southampton,,SAVED,10,,English,https://www.encyclopedia-titanica.org/titanic-survivor/ada-ball.html
"BANEWER, Mr Solomon",1870,1912,42,Male,2nd Class Passenger,211535,£13.00,,Southampton,Merchant,LOST,,,Lithuanian,https://www.encyclopedia-titanica.org/titanic-victim/solomon-bowenur.html
"BANFI,  Ugo",1887,1912,24,Male,Restaurant Staff,,,,Southampton,Waiter,LOST,,,Italian,https://www.encyclopedia-titanica.org/titanic-victim/ugo-banfi.html
"BANFIELD, Mr Frederick James",1884,1912,28,Male,2nd Class Passenger,34068,£10             10s,,Southampton,Miner,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/frederick-james-banfield.html
